is_filler,cross,q_idx,filler
1,-1,sw2576B-ms98-a-0088,um
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,um
1,-1,sw2576B-ms98-a-0088,um
1,-1,sw2576B-ms98-a-0088,um
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,uh
1,-1,sw2576B-ms98-a-0088,uh
0,0,sw2576B-ms98-a-0090,qy
1,-1,sw2576B-ms98-a-0090,um
1,-1,sw2576B-ms98-a-0090,um
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,um
1,-1,sw2576B-ms98-a-0090,um
1,-1,sw2576B-ms98-a-0090,um
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,uh
1,-1,sw2576B-ms98-a-0090,uh
0,1,sw2579B-ms98-a-0017,qy
1,0,sw2579B-ms98-a-0017,uh
1,0,sw2579B-ms98-a-0017,uh
1,0,sw2579B-ms98-a-0017,uh
1,0,sw2579B-ms98-a-0017,uh
0,19,sw2579B-ms98-a-0019,qy
1,0,sw2579B-ms98-a-0019,uh
1,38,sw2579B-ms98-a-0019,uh
1,0,sw2579B-ms98-a-0019,uh
1,0,sw2579B-ms98-a-0019,uh
0,-1,sw2586A-ms98-a-0006,qy
1,-1,sw2586A-ms98-a-0006,uh
1,-1,sw2586A-ms98-a-0006,uh
